"","ent_mun","year","month","homicides","pop_est","homicide_rate","mun","first_place_raw_votes","second_place_raw_votes","efec","first_place_party","second_place_party","alternation_index","pan_consec_yrs_in_pwr","date","election_year","post_election_avg_rate"
"1","01001",2001,"08",1,643524.096600344,1.83089617416975,"AGUASCALIENTES",79398,54100,159520,"pan","pri",0,1,2001-08-01,1,2.98021302074506
"2","01001",2004,"08",0,643753.391515319,0,"AGUASCALIENTES",112123,87528.15,229896,"pan","pri",0,2,2004-08-01,1,3.12361904962914
"3","01001",2007,"08",5,643982.475980894,9.14796481578925,"AGUASCALIENTES",69266,57615.68,201007,"pri","pan",1,0,2007-08-01,1,4.1471418815124
"4","01001",2010,"07",3,797013.916071187,4.43490050560062,"AGUASCALIENTES",144331.99,99333,283504,"pri","pan",1,0,2010-07-01,1,4.80723697961236
"5","01001",2013,"07",6,797239.605436981,8.86729007251821,"AGUASCALIENTES",94879,82051,239292,"pan","pri",2,1,2013-07-01,1,4.73578693176444
"6","01001",2016,"06",2,797465.39842042,3.05342401666972,"AGUASCALIENTES",117189,83187.91,285784,"pan","pri",2,2,2016-06-01,1,5.03991678712094
"7","01001",2019,"06",8,797690.984168569,12.2102420527568,"AGUASCALIENTES",111404,52944,210350,"pan","morena",2,3,2019-06-01,1,5.29630201526681
"8","01002",2001,"08",0,37768.2886668103,0,"ASIENTOS",4064,3572,11906,"pri","pan",0,0,2001-08-01,1,0.920842201124559
"9","01002",2004,"08",0,37779.8272361135,0,"ASIENTOS",6829,3704.66,14462,"pan","prd",1,1,2004-08-01,1,1.80069091463135
"10","01002",2007,"08",0,37791.3552151905,0,"ASIENTOS",7011,4433.52,15189,"pri","pan",2,0,2007-08-01,1,2.35891878699426
"11","01002",2010,"07",0,45492.1557358485,0,"ASIENTOS",7515,6034.72,17145,"pan","pri",3,1,2010-07-01,1,3.0886504144253
"12","01002",2013,"07",0,45501.1310386966,0,"ASIENTOS",8216,6003,20056,"pna","pri",4,0,2013-07-01,1,2.78022595393568
"13","01002",2016,"06",0,45510.1104622517,0,"ASIENTOS",7940.47,7130,20692,"pna","pan",4,0,2016-06-01,1,3.5378072084447
"14","01002",2019,"06",0,45519.0816443929,0,"ASIENTOS",9585,6848,21802,"morena","pan",5,0,2019-06-01,1,3.51080097273826
"15","01003",2001,"08",0,51292.9467275295,0,"CALVILLO",7196,5119,15829,"pri","pan",0,0,2001-08-01,1,0.678139924086556
"16","01003",2004,"08",0,51297.1940078591,0,"CALVILLO",7452,4175.26,15004,"pan","prd",1,1,2004-08-01,1,0.992072215019853
"17","01003",2007,"08",0,51301.437389988,0,"CALVILLO",5107.73,4875,16401,"pan","pri",1,2,2007-08-01,1,0.881162396499244
"18","01003",2010,"07",0,54136.1060055064,0,"CALVILLO",6903.54,5710,20625,"pri","pan",2,0,2010-07-01,1,0.969403530681611
"19","01003",2013,"07",0,54142.2152702181,0,"CALVILLO",10661,5894,20854,"pan","pri",3,1,2013-07-01,1,1.51943081035948
"20","01003",2016,"06",0,54148.3273397921,0,"CALVILLO",12334,6253.58,23412,"pan","pri",3,2,2016-06-01,1,2.29093433926569
"21","01003",2019,"06",2,54154.4337996414,44.9640007133844,"CALVILLO",8752,4821,20251,"pan","pla",3,3,2019-06-01,1,2.33738929011265
"22","01004",2001,"08",0,12620.6579686481,0,"COSIO",2633,2078,5314,"pri","pan",0,0,2001-08-01,1,2.66708599220912
"23","01004",2004,"08",0,12624.2752481696,0,"COSIO",2544,1832.97,5575,"pan","pri",1,1,2004-08-01,1,1.31476070038478
"24","01004",2007,"08",1,12627.8892077121,93.303464028814,"COSIO",2501,1427.74,5997,"pri","pan",2,0,2007-08-01,1,0.880641601201124
"25","01004",2010,"07",0,15042.0504518186,0,"COSIO",2723.69,1749,6433,"pri","pan",2,0,2010-07-01,1,3.61665316444545
"26","01004",2013,"07",0,15044.9580697829,0,"COSIO",3427,1907,7327,"pri","pan",2,0,2013-07-01,1,3.7862819317132
"27","01004",2016,"06",0,15047.8670226818,0,"COSIO",2101,1781,7635,"indep","pvem",3,0,2016-06-01,1,3.89374960191912
"28","01004",2019,"06",0,15050.7733057117,0,"COSIO",2537,2289,8237,"pvem","pri",4,0,2019-06-01,1,4.52567795628028
"29","01005",2001,"08",0,64121.2865378572,0,"JESUS MARIA",8583,6036,16478,"pri","pan",0,0,2001-08-01,1,0
"30","01005",2004,"08",1,64174.2737859199,18.3597840215859,"JESUS MARIA",9244,7911.42,20276,"pan","pri",1,1,2004-08-01,1,1.30098911884531
"31","01005",2007,"08",1,64227.2124017024,18.3446511594264,"JESUS MARIA",9980,7170.84,20828,"pri","pan",2,0,2007-08-01,1,2.66155854640466
"32","01005",2010,"07",0,99590.7817455175,0,"JESUS MARIA",14155.77,10725,28030,"pri","pan",2,0,2010-07-01,1,3.47703671386449
"33","01005",2013,"07",0,99635.8349740267,0,"JESUS MARIA",14296,9832,29337,"pan","pri",3,1,2013-07-01,1,3.40449122617613
"34","01005",2016,"06",1,99680.908887203,12.2139737046108,"JESUS MARIA",16009,11829.48,34972,"pan","pri",3,2,2016-06-01,1,3.84927149836392
"35","01005",2019,"06",0,99725.941431045,0,"JESUS MARIA",12171,6020,28209,"pan","jose_luis_mares_medina",3,3,2019-06-01,1,4.71554656715196
"36","01006",2001,"08",0,34301.1771319817,0,"PABELLON DE ARTEAGA",5278,3881,11493,"pri","pan",0,0,2001-08-01,1,0.981304558437773
"37","01006",2004,"08",1,34312.4723597405,34.3381203807991,"PABELLON DE ARTEAGA",4983,4160.93,12844,"pan","pri",1,1,2004-08-01,1,1.45101268037916
"38","01006",2007,"08",1,34323.7572206148,34.3268307976486,"PABELLON DE ARTEAGA",3792,3312,13487,"prd","pri",2,0,2007-08-01,1,2.9710657092976
"39","01006",2010,"07",1,41862.1490364242,28.1453731729453,"PABELLON DE ARTEAGA",5174.05,3153,15318,"pna","pan",3,0,2010-07-01,1,3.27216808205054
"40","01006",2013,"07",1,41870.7382408705,28.1395995378351,"PABELLON DE ARTEAGA",6268,5650,17557,"pna","pri",3,0,2013-07-01,1,3.10208244138711
"41","01006",2016,"06",0,41879.3313887598,0,"PABELLON DE ARTEAGA",8085,2510,17996,"prd","pan",4,0,2016-06-01,1,3.66614403852996
"42","01006",2019,"06",0,41887.9166497632,0,"PABELLON DE ARTEAGA",9298,3723,17121,"prd","morena",4,0,2019-06-01,1,3.53619614591126
"43","01007",2001,"08",0,41660.1326549028,0,"RINCON DE ROMOS",4518,3746,13469,"pvem","pri",0,0,2001-08-01,1,3.28564317771279
"44","01007",2004,"08",0,41671.3308446225,0,"RINCON DE ROMOS",3876,2474.84,12578,"pan","prd",1,1,2004-08-01,1,2.41603423724929
"45","01007",2007,"08",4,41682.5187565201,113.066661190412,"RINCON DE ROMOS",5381,3160.42,14057,"pvem","pan",2,0,2007-08-01,1,4.44617529142273
"46","01007",2010,"07",1,49156.2116245076,23.9690115961701,"RINCON DE ROMOS",4186.69,3291,16589,"pri","pt",3,0,2010-07-01,1,5.16845408338066
"47","01007",2013,"07",0,49168.4078790231,0,"RINCON DE ROMOS",6184,4015,18702,"pt","pna",4,0,2013-07-01,1,5.10759351207476
"48","01007",2016,"06",0,49180.6097330366,0,"RINCON DE ROMOS",7470,4044.42,19773,"pan","pri",5,1,2016-06-01,1,4.81415365883546
"49","01007",2019,"06",0,49192.8003880541,0,"RINCON DE ROMOS",5487,4922,16005,"pan","pna",5,2,2019-06-01,1,4.74841320836358
"50","01008",2001,"08",0,7244.82043103966,0,"SAN JOSE DE GRACIA",1021,854,3023,"pt","pan",0,0,2001-08-01,1,0
"51","01008",2004,"08",0,7246.61040963903,0,"SAN JOSE DE GRACIA",1566,789.23,3307,"pan","prd",1,1,2004-08-01,1,2.28981068401067
"52","01008",2007,"08",0,7248.3987453763,0,"SAN JOSE DE GRACIA",928,878.19,3681,"pri","pan",2,0,2007-08-01,1,1.53374111853545
"53","01008",2010,"07",0,8443.02857562144,0,"SAN JOSE DE GRACIA",1483.09,1291,4071,"pri","pt",2,0,2010-07-01,1,2.16027891717177
"54","01008",2013,"07",0,8444.67543380453,0,"SAN JOSE DE GRACIA",1812,1149,4803,"pna","pri",3,0,2013-07-01,1,1.73310511999092
"55","01008",2016,"06",0,8446.32304808689,0,"SAN JOSE DE GRACIA",1882,955.63,4890,"pan","pri",4,1,2016-06-01,1,1.44018594478118
"56","01008",2019,"06",0,8447.9691501707,0,"SAN JOSE DE GRACIA",2573,1289,5008,"pan","morena",4,2,2019-06-01,1,1.2943443301198
"57","01009",2001,"08",0,16510.1622702964,0,"TEPEZALA",2546,1620,5678,"pri","pan",0,0,2001-08-01,1,2.03837962210323
"58","01009",2004,"08",0,16514.8798118927,0,"TEPEZALA",3122,2461.61,6620,"pan","pri",1,1,2004-08-01,1,1.00483502498047
"59","01009",2007,"08",0,16519.5930236773,0,"TEPEZALA",2701,1581.92,7261,"pri","pan",2,0,2007-08-01,1,0.673049875222765
"60","01009",2010,"07",0,19668.0725856858,0,"TEPEZALA",2627,2110.97,8214,"pan","pna",3,1,2010-07-01,1,0.938318681758768
"61","01009",2013,"07",0,19672.25581337,0,"TEPEZALA",3061,2712,9572,"pri","pna",4,0,2013-07-01,1,1.09115264643966
"62","01009",2016,"06",0,19676.4409616418,0,"TEPEZALA",3617,3554,10140,"pvem","pan",5,0,2016-06-01,1,1.75003353631109
"63","01009",2019,"06",0,19680.6222687384,0,"TEPEZALA",3281,2609,10783,"pvem","pan",5,0,2019-06-01,1,2.60001894527494
"64","01010",2001,"08",0,15329.3956038948,0,"LLANO--EL",2975,1424,5950,"pri","pan",0,0,2001-08-01,1,6.66023356875948
"65","01010",2004,"08",0,15334.6222219735,0,"LLANO--EL",3114,1877.74,6301,"pan","pri",1,1,2004-08-01,1,4.40120646657853
"66","01010",2007,"08",0,15339.8440430045,0,"LLANO--EL",2919,1886,7039,"pri","pvem",2,0,2007-08-01,1,4.85314004200622
"67","01010",2010,"07",0,18828.0521782087,0,"LLANO--EL",2870,2682.96,7683,"pt","pri",3,0,2010-07-01,1,6.39060570318754
"68","01010",2013,"07",0,18831.0592907612,0,"LLANO--EL",3715,3306,8761,"pt","pri",3,0,2013-07-01,1,5.49220245320942
"69","01010",2016,"06",0,18834.0677839278,0,"LLANO--EL",2447.5,2402,9636,"pt","prd",3,0,2016-06-01,1,6.0519617856307
"70","01010",2019,"06",1,18837.0735158663,64.6331819523088,"LLANO--EL",2684,2223,10322,"pt","pna",3,0,2019-06-01,1,6.23962387324594
"71","01011",2001,"08",0,20076.7449779948,0,"SAN FRANCISCO DE LOS ROMO",2402,1754,5751,"pri","pan",0,0,2001-08-01,1,0
"72","01011",2004,"08",0,20100.1878753642,0,"SAN FRANCISCO DE LOS ROMO",3465,2593.58,8154,"pan","pri",1,1,2004-08-01,1,1.65024049599065
"73","01011",2007,"08",1,20123.6092565839,58.5494277606354,"SAN FRANCISCO DE LOS ROMO",3828,3032,9404,"pvem","pri",2,0,2007-08-01,1,3.8835914644554
"74","01011",2010,"07",0,35769.6758173121,0,"SAN FRANCISCO DE LOS ROMO",4922.33,3194,11004,"pri","pan",3,0,2010-07-01,1,5.1982050521713
"75","01011",2013,"07",0,35808.6242360912,0,"SAN FRANCISCO DE LOS ROMO",4769,3995,12435,"pri","pna",3,0,2013-07-01,1,4.92586889247372
"76","01011",2016,"06",0,35847.5905367204,0,"SAN FRANCISCO DE LOS ROMO",5414,4974,14409,"pri","pan",3,0,2016-06-01,1,4.40708764305313
"77","01011",2019,"06",0,35886.5210736494,0,"SAN FRANCISCO DE LOS ROMO",4555,3577,13421,"pri","morena",3,0,2019-06-01,1,5.35530148087072
"78","02001",2004,"08",4,370939.189824651,12.705325711296,"ENSENADA",32604,28126.39,78628,"pan","pri",0,2,2004-08-01,1,11.7872460652558
"79","02001",2007,"08",4,371082.501293358,12.7004189348198,"ENSENADA",52401.34,50217.66,115110,"pan","pri",0,3,2007-08-01,1,14.5499703823441
